# This is a continuation of trace file /home/alumno/Escritorio/504021/workspace/.metadata/trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2015-11-02 17:42:53.926
| Worker-11 | 2015-11-02 17:53:21.087 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-11 | 2015-11-02 17:53:21.087 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.089 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 2 ms |
| Worker-11 | 2015-11-02 17:53:21.090 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.093 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-11 | 2015-11-02 17:53:21.094 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.096 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 2 ms |
| Worker-11 | 2015-11-02 17:53:21.096 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.099 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-11 | 2015-11-02 17:53:21.100 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.103 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-11 | 2015-11-02 17:53:21.104 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.108 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 4 ms |
| Worker-11 | 2015-11-02 17:53:21.109 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.110 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| Worker-25 | 2015-11-02 18:01:43.862 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.883 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 21 ms |
